Cod UF;UF;Sgl UF;Cod IBGE;Nome Município;Latitude;Longitude;Sgl Região;Região;Chave_Localidade;Nome Municipio Tratado
31;Minas Gerais;MG;3122108;DIVINO DAS LARANJEIRAS;-18,776;-41,4784;SE;Sudeste;MG_DIVINO DAS LARANJEIRAS;DIVINO DAS LARANJEIRAS
31;Minas Gerais;MG;3122207;DIVINOLÂNDIA DE MINAS;-18,8053;-42,6218;SE;Sudeste;MG_DIVINOLANDIA DE MINAS;DIVINOLANDIA DE MINAS
31;Minas Gerais;MG;3122306;DIVINÓPOLIS;-20,1451;-44,8916;SE;Sudeste;MG_DIVINOPOLIS;DIVINOPOLIS
31;Minas Gerais;MG;3122355;DIVISA ALEGRE;-15,7225;-41,3466;SE;Sudeste;MG_DIVISA ALEGRE;DIVISA ALEGRE
31;Minas Gerais;MG;3122405;DIVISA NOVA;-21,5096;-46,1908;SE;Sudeste;MG_DIVISA NOVA;DIVISA NOVA
31;Minas Gerais;MG;3122454;DIVISÓPOLIS;-15,7258;-41;SE;Sudeste;MG_DIVISOPOLIS;DIVISOPOLIS
31;Minas Gerais;MG;3122470;DOM BOSCO;-16,6521;-46,2652;SE;Sudeste;MG_DOM BOSCO;DOM BOSCO
31;Minas Gerais;MG;3122504;DOM CAVATI;-19,3695;-42,1142;SE;Sudeste;MG_DOM CAVATI;DOM CAVATI
31;Minas Gerais;MG;3122603;DOM JOAQUIM;-18,9615;-43,2547;SE;Sudeste;MG_DOM JOAQUIM;DOM JOAQUIM
31;Minas Gerais;MG;3122702;DOM SILVÉRIO;-20,1632;-42,963;SE;Sudeste;MG_DOM SILVERIO;DOM SILVERIO
31;Minas Gerais;MG;3122801;DOM VIÇOSO;-22,2516;-45,1647;SE;Sudeste;MG_DOM VICOSO;DOM VICOSO
31;Minas Gerais;MG;3122900;DONA EUSÉBIA;-21,3195;-42,8074;SE;Sudeste;MG_DONA EUSEBIA;DONA EUSEBIA
31;Minas Gerais;MG;3123007;DORES DE CAMPOS;-21,1144;-44,0211;SE;Sudeste;MG_DORES DE CAMPOS;DORES DE CAMPOS
31;Minas Gerais;MG;3123106;DORES DE GUANHÃES;-19,0521;-42,9257;SE;Sudeste;MG_DORES DE GUANHAES;DORES DE GUANHAES
31;Minas Gerais;MG;3123205;DORES DO INDAIÁ;-19,4646;-45,6001;SE;Sudeste;MG_DORES DO INDAIA;DORES DO INDAIA
31;Minas Gerais;MG;3123304;DORES DO TURVO;-20,979;-43,1838;SE;Sudeste;MG_DORES DO TURVO;DORES DO TURVO
31;Minas Gerais;MG;3123403;DORESÓPOLIS;-20,2873;-45,9011;SE;Sudeste;MG_DORESOPOLIS;DORESOPOLIS
31;Minas Gerais;MG;3123502;DOURADOQUARA;-18,4341;-47,6085;SE;Sudeste;MG_DOURADOQUARA;DOURADOQUARA
